text_id,full_text,cohesion,syntax,vocabulary,phraseology,grammar,conventions,extracted_topic
772D27D400BB,"It god to have a possitive attitude when you don't have a possitive actitude you not treat god the people and they feel inconforteble. I agree to this statement because when the people have a possitive attitude they can faund a job and to have a positive attitude is very important in life and also to have a god attitude is important in the hausehold.

First: I work in a reusturant and I always have a god attitude with the costumers for example, I now a manager how work in the reastaurent she always have a negative attitude, and I think that is not god to have a negative attitude ,

to have a good attitude help a lot to have a job in my oponion a think that if I have a possitive attitude I can work very well and also a think that possitive attitude that we have is because the parents of as they teach as how we can have positive attitude .

second: I have some friends that they are negatives and that is not god we have always to are positives some people think that is god to have a negative attitude and is not real if we are negative we can do thinks bad , my mom always tell me don't be negative that is not good that why I'm always positive, my grandma always tell me don't be negative .

Third: positive actitude is good to have I think if we are happy we have a possitive attitude all people can have a positive attitude,if people don't have a posittive attitude they can't get a job that's why all people can have a possitive attitude is important if we have a positive , in all the works they need that we can have a positive attitude because in my job a girl how wants to work in their but she just went one day when my boss are treaning her she dosen't have a possitive attitude that's why a think we have to be positive always.

In conlusion if all people wants to have a job they have to learn how to have a possitive attitude if you have negative attitude plis change you attitude the negative attitude is not god in work or in oder things , we need to have positive attitude always , the positive attitude depend and how we traet oder people if you don't want to see oder people sad for you bad attitude be positve, have a positive attitude always .",3.0,2.5,2.5,2.0,2.0,2.0,the importance of having a positive attitude
9E8F3C6405CA,"Why do people ask more then one person for advice? I think that people stress out about the problem that they are having that I'ts better to hear it in another person's perspective, what If they have gone through the same problem that your facing, they all have different things to say so you can think about It in multiple perspectives.

I think that going to more then one person is a good thing because people may stress out about it a lot they may over think it and that's not good I'ts always better to talk to more then one person because they all have different things to say so you can think about it in different perspectives It actually helps you make a decision faster or it helps you with whatever you may be going through.

I think that going to more then one person is a good thing because what if they have been in the situation as you they have already gone through it so they can help you out and tell you how it was for them so you know you arent the only one who has gone through that problem it may also help by doing what they did when they were in that situation.

I think that going to more then one person is a good thing because they all have different things to say so you can think about It in multiple perspectives like you can think about everything they told you and it can help you with what you are going through. in conclusion i think that it is best to talk to more then one person for advice.",3.0,2.0,3.0,3.5,3.0,3.0,a topic of personal interest
948771F795EB,"We accomplish more when we are active, and are always doing something. I want to go to a university, but to achieve this goal, I have to put forth effort my going to school and studying all the time. I am always doing something while I am in school, and I am not allowed to be on my cell phone. This will not help me pass in school, even after school I sometimes stay in tutoring for Math and English, because I have trouble. This will be true in school, sports, and in life like my mother tells me all the time. I have to agree that always staying busy will allow you to accomplish more in life.

In my school, soccer also helps me stay busy, because I am on the team. We have to practice everyday to have a chance to win. I want to be the best player that I can be, and to do this I have to always practice. My coach tells me the more I practice, and the busier that I am the better condition I will be in for the game. Soccer takes a lot of energy and you are always active in the game and you need to be more active than the other team to win. Always doing something in sports allows you to be better.

My mom told me when she was growing up that she was poor, and she did not always have food to eat so she picked mangoes off of the tree. She did go to school, but when she was not in school she had to always stay busy. She would go to her grandmother's house to wash clothes or sell some of the mangoes that she picked in the street. She was fifteen years old, and she had no shoes so she worked for rich people in their house cleaning. She tells me this so that I will understand that I have to stay active and she has worked hard to give me a better life. She gets angry when I try to stay in bed and not do anything, because I always need to be active to get somewhere in life.

We achieve more when we stay active, and we always are doing something good. My goals in life are to go to school, and graduate from a college, play sports to stay in condition, and make a better life for my kids like my mother. I can only do these things if I stay active and work hard. It is wonderful how much you can achieve if you always stay active and focused.",4.0,4.0,3.0,4.0,4.0,4.0,the value of education
FE14D7378CFB,"Do you agree or disagree about imagination being more important than knowledge ? I believe its important to get peoples opinions on this question because i think Albert Einstein would be curious about what people think.

Once they have chose what they chose they could talk about it, give each other some details, also communicate with another, ask questions on to why they chose what they chose.

I disagree wit Albert Einstein because imagination is something you imagine in your head or dreams it can be real only sometimes. I agree with knowledge because it happens in real life and when you do something you have the knowledge to know it right away. Students use their knowledge in school to learn about English.

In school i use my knowledge by reading books and by reading i can understand what the book is talking about and i will know how i will write a short summary of the book. My second detail is i can use my knowledge in soccer because i can learn new skills and read a book all about soccer and i can understand that i can use my knowledge by knowing what reading is. Imagination wouldnt be more important than knowledge because the things that you will imagine probably wont come to real life. Imagination isnt a smart way to use the word important because it wont really help students, maybe even adults. Knowledge i know that its a smart way to say important because it does help students in school, sports, maybe even with some decisions they will make in life.

Albert Einstein probably asked us to agree or disagree with him because he wants to know what are thoughts are and would want students, adults, teachers to communicate with each other and talk about why they agreed or disagreed with him.

In my conclusion i think students can succed in life using knowledge because its a smart decision to make in life by just thinking if its a good or bad idea your knowledge could help make that good decision for you",3.0,3.0,3.5,3.0,3.5,3.5,a topic of personal interest
7AAE019F70D6,"I disagree with the principal saying that all kids should at least join one extracurricum activity because kids have other things to do like homework,they might be already doing a activity and they'll get tired faster if the principal make them do a other activity, and it can contain stress if you don't get it right the first time.

For and foremost, I disagree with the principal saying that all kids should at least join one extracurricum activity because the student have homework to do and I know that i get a lot of homework maybe you do too i also know teachers give kids projects and if the principal makes them do a extra activity then they wont be able to have anytime to do their own things. Also studies have shown that making kids do a extra activity can contain a lot of stress and who wants to be stressing I know I don't, and it can also contain kids losing sleep do to the activities if they have homework and a activity to do it'll make the students lose sleep due to the activity and the brain needs a good hours of sleep for it to function well. This is why I say principals shoudn't make students join activies

Secondly, I disagree with the principal because the students will get way more tired faster and did you know that someone in Washington DC, fainted due to the principal making the student do a other activity and thats why the principals shouldn't make students join a other activity because it'll most likely make them get tired faster and what we want is to keep our kids healthy but we can't keep them healthy if the principal makes them join a activity.

Lastly,my last reason is stress, stress can come from a lot of things like work,school,friends,parents,children as you see stress comes from a lot and school stress is a big oe because we all know sometimes our grades go down and when we try to bring them up it gets really stressful and espcially if your pricipal is making you do a other activity that'll make even more stress and multiple studies have shown that a lot of the stress that kids get is from school and other activies. Those were all of my reason on why the principal shouldn't make students join a other activity espcially if they don't want too.

Overall,I disagree with the principal making students do a other actvity because of homework,losing sleep faster and last but not least is stress. Those were all of my reasons on why the principal shouldn't mame students do a other activity ",3.5,3.5,3.5,3.5,3.0,3.5,a topic of personal interest
58EF6CAF956B,"Do you want to know the reason why it is important to have someone who can share wisdom and experience with you? Well, I know there are a lot of reason. The benefit of having someone who shared wisdom and experience with you is that, people will show new things, you will get an opportunity to learn new things, and you won't feel like you are the only one who is experiencing this.

When my friend shared how she overcome being alone, because she couldn't speak English well, I realize that I can overcome being alone too. It was hard for me to talk with the other kids, because I was afraid that they will laugh at me, because I couldn't speak well, and then my friend says ""try to talk with them, otherwise you won't be able to speak with them,"". After that, she told me If I want to communicate, I need to be confident. Like that, She shared her experience.

The another benefit is that you can learn new things from the person who shared their wisdom to you. When they tell you about their experience, you will gain strength from it and you won't be afraid to do new things. When the people who tell you about their experience see you doing new things, they will support you, so that your experience will be memorable.

There are times when you feel like you are the only one who is experiencing this, but when someone tells you about their story, you will feel that you are not the only one who is feeling like this. When they shared their story, you will gain an opportunity to make new friend. You two will share your feeling about the experience and become closer. On the other hand, the funny and the sad stories will make you two have fun while you talk.

Since you know that there are a lot of reasons to share your experience, I wish you could use them to share your wisdom in the future. Don't you think it is the time for you to seek and ask other people's experience?                  ",4.0,3.5,3.5,4.0,4.5,4.0,a topic of personal interest
0C8D699DEE90,"main idea some schools district offter programs , that allow high school students to graduated in the three years of the traditional four years.

may mean idea is students is coming the different countries is heart because speak different languages y different cultures is different languages the people is coming and this countries because make you future for to pass away you life, a later young people is this country because this make you future, is coming the high school graduated is so hart because not speak English non thing not auderstant nothing the class no pass the class is later people state four years, and high school because you no put a lot effort in to pawing , because you make you future . But my self three years is coming this country is so heart because not speak nothing English pass the class because i'm make may future for my mom and litter brother i'm see you graduated and this countries because is more opportunities and may fears years in the highs school pass the sol algebra 1,and so happy because pass the this sol, becuase i'm have a later problems and my family.

the a later students no coming the school because work force one o more years is coming the collage the students make you future you family.     ",2.0,2.0,2.0,2.5,2.0,2.0,the value of education
5C31B4B9B185,"Do you think that the programs of graduate in three year is a good way?

some school need student that they have online classes and they can graduate before than three year for one part the program of graduate in three year is not good, because is more hard, My brother need help for teachers for graduate, and in the school classes he learn more, and he pay many attention to the teacher because he want graduate in three year etc.

some student take this program in summer school, because they want to finish the high school in three year, and go to the college in less time.

The program of graduate in three years is not good because student need help for the teacher, student learn more with teacher help, and they pay a better attention etc.

The program of graduate in three year is good, because you graduate in less time, and you can go in summer school for graduate the next year, but is more hard, more responsibility, and more work etc.

Should the school districts offer this programs? this programs offer many opportunity to graduate in three years, so i think that this is good for student, and they can have more opportunity to graduate in three years. ",3.0,2.5,2.0,2.0,2.0,3.0,the value of education
9653A4188D80,"I think we choose our character traits and we are influenced beyond our control. I say both because sometimes we choose to be who we are without nobody telling us what to do, what to say and not forcing us to do something we don't want to do. Choosing our character traits can be something hard for some people, because some of us think that we are going to be judged by other people and some of us think that we are not going to get accepted for who we are. Me I do both sometimes I choose my character traits and sometimes i'm influenced by other people, I don't think its good to be influenced by other people because I think we should be the one's controlling our character traits at all times. But sometimes we feel forced to do something we don't wanna do or say and it's not part of our character, But we feel we have to because there maybe someone watching or it could just be pure pressure, Doing stuff we don't always do that is basically getting influenced by other people because we are doing something that we don't really want to do. This is why I say it's both we choose and we are influence.

I think you don't really choose if you control your traits or not, because some days you can be yourself and other days your kinda getting controlled, because you do what people are telling you what to do and basically your not yourself your not doing what you want to do your listing to other people. I really think theres no option I think everyone does both, one day they are themselves and some days they are not themselves because there not doing what they want to do, there kinda getting controlled in some type of way.

In conclusion I think every one does both they choose or sometimes they don't, Honestly I think everyone should be themselves and not let anyone control them. Everybody in this world should choose there own character traits but it doesnt happen because we all sometimes feel that we get influenced by some other people, Basically what i'm trying to say is be yourself and don't be someone your not. ",3.0,3.5,3.0,3.0,4.0,3.5,a topic of personal interest
8A165723DF82,"Failure Is Success

Nothing can make you stronger then failure. It make's you more success In life, even helps you to learn a life lesson, that you can do much more then what you could image to build your life and happens.

When you did something and It makes you failure don't think that why did that happened, or why did you do that although, give up that you can't solve It, you should know and everyone else that we all are strong we will not know until failure comes to you that you are much stronger and be powerful with what you have and what come's to you

Nothing Is more Important then success your life, sometimes failures and make you life hard but It can make your life more powerful, that you will trust yourself and, It will make you stronger and you will take more responsibility for your next steps. For example, my father would tells me all the time that when you get older have your on business and you need to be strong If your not strong ""failures"" can heart you so that's why you need to work so hard and be strong as will to reach your goals. Although even If you have a good life don't think that's It that you will not have any problems anymore. If you don't work hard and not be strong failure can make your life so harder

On the other hand, life is a lesson and challenge for everyone It can take a risk so you need to be strong for what ever come to you and be powerful for not any failures so to you and break you. For example, my mom would tell me life Is a lesson each day you will learn something different and you will get stronger so you don't know when and what will happen to you so mantle and physically be strong. However If you did something learn you mistake lesson to not do It again and forget the mistake.

However, It's not good to have failure some people can't handle It so they kill them self. On the other hand, failure Is good because they know how strong and powerful thy are and nothing can break you or failure you.

Being powerful and strong Is so Important so that life will change you no matter. How or why, so you should all ways learn your lesson that, why or how did failure In your success life and happiness never let anything come between you, because you will get stronger each time and better.",4.0,2.5,3.0,3.5,3.0,2.5,the value of education
