fold,test_model,accuracy,f1,auc,fpr,train_size,test_size,model
1,gpt4o,1.0,1.0,1.0,0.0,4788.0,1193.0,Logistic Regression
2,claude,1.0,1.0,1.0,0.0,4782.0,1199.0,Logistic Regression
3,gemini,1.0,1.0,1.0,0.0,4788.0,1193.0,Logistic Regression
4,llama,0.995,0.997,1.0,0.0,4781.0,1200.0,Logistic Regression
5,qwen,1.0,1.0,1.0,0.0,4785.0,1196.0,Logistic Regression
1,gpt4o,1.0,1.0,1.0,0.0,,,Random Forest
2,claude,1.0,1.0,1.0,0.0,,,Random Forest
3,gemini,1.0,1.0,1.0,0.0,,,Random Forest
4,llama,0.9708,0.9822,0.9998,0.0,,,Random Forest
5,qwen,0.9975,0.9985,1.0,0.0,,,Random Forest
1,gpt4o,1.0,1.0,1.0,0.0,,,XGBoost
2,claude,1.0,1.0,1.0,0.0,,,XGBoost
3,gemini,0.9983,0.999,1.0,0.01,,,XGBoost
4,llama,0.9733,0.9837,0.9997,0.0,,,XGBoost
5,qwen,0.9983,0.999,1.0,0.0,,,XGBoost
1,gpt4o,0.2179,0.1256,0.5933,0.035,,1193.0,RoBERTa-OpenAI
2,claude,0.1593,0.0,0.4601,0.045,,1199.0,RoBERTa-OpenAI
3,gemini,0.1601,0.0,0.4059,0.045,,1193.0,RoBERTa-OpenAI
4,llama,0.6842,0.7693,0.9336,0.055,,1200.0,RoBERTa-OpenAI
5,qwen,0.1706,0.0236,0.4609,0.04,,1196.0,RoBERTa-OpenAI
1,gpt4o,0.1744,0.0628,0.4739,0.125,,1193.0,ChatGPT Detector
2,claude,0.1501,0.0,0.2722,0.1,,1199.0,ChatGPT Detector
3,gemini,0.1433,0.0,0.2358,0.145,,1193.0,ChatGPT Detector
4,llama,0.7408,0.8216,0.8609,0.135,,1200.0,ChatGPT Detector
5,qwen,0.1647,0.0292,0.2417,0.09,,1196.0,ChatGPT Detector
