,rf_importance,xgb_importance,avg_importance
syllables_per_word,0.179891566951469,0.83248246,0.5061870134757345
avg_word_len,0.1302563853562365,0.08489971,0.10757804767811824
long_word_ratio,0.1289506724063601,0.02622518,0.07758792620318006
hapax_ratio,0.1229412361888334,0.012846832,0.0678940340944167
lexical_density,0.109936723210871,0.008418284,0.0591775036054355
word_length_variance,0.0751165830649771,0.0028282013,0.03897239218248855
type_token_ratio,0.0546282294129356,0.004306046,0.029467137706467802
repetition_rate,0.041907294971898,0.0025791028,0.022243198885949
pos_pronoun_ratio,0.0354794903961568,0.0027680863,0.0191237883480784
short_word_ratio,0.034118304657397,5.140725e-05,0.0170848559536985
noun_freq,0.0276360169954235,0.00035646284,0.01399623991771175
bigram_repetition,0.0158561548515474,0.0006354504,0.0082458026257737
unique_words_ratio,0.0098950117065044,0.003841598,0.0068683048532522
second_person_freq,0.0122092166839236,0.001225342,0.0067172793419618005
yules_k,0.0066162192612909,0.00027684658,0.00344653292064545
future_tense_freq,0.0026353897335213,0.0019015282,0.00226845896676065
adj_freq,0.001764627184339,0.0018645454,0.0018145862921695
burstiness,0.0007361046727399,0.0022111477,0.0014736261863699499
sent_len_max,0.0009115208697216,0.0018347189,0.0013731198848608
sent_len_std,0.0009049963870114,0.0014240092,0.0011645027935057
vocab_richness,0.0012032632387672,0.0011115663,0.0011574147693836
entropy,0.0013277334853698,0.00034695418,0.0008373438326848999
punctuation_density,0.000556839028508,0.0007617732,0.000659306114254
noun_phrase_density,0.0011953317835249,2.1508178e-05,0.00060841998076245
sent_len_mean,0.0001604384431693,0.0010163329,0.0005883856715846501
third_person_freq,0.0002350860125431,0.00088045653,0.00055777127127155
verb_freq,0.0001182496374397,0.00089320465,0.00050572714371985
first_person_freq,0.0002610687870915,0.0006621851,0.00046162694354574997
active_voice_freq,0.0005887472278882,0.00032793975,0.0004583434889441
trigram_repetition,0.0004642326628405,0.000302109,0.00038317083142025
sentence_start_diversity,0.0001889693571753,0.0002604723,0.00022472082858765
pos_conj_ratio,0.0001695138460484,0.00016401638,0.0001667651130242
present_tense_freq,0.0002151500083598,0.00011423833,0.0001646941691799
named_entity_ratio,0.0001324120573026,0.00011948417,0.00012594811365129998
past_tense_freq,0.0001981850192265,0.0,9.909250961325e-05
avg_dependency_depth,0.000187958630393,0.0,9.39793151965e-05
adv_freq,0.0001456008259632,0.0,7.28004129816e-05
sent_len_min,6.931005012981902e-05,4.0793493e-05,5.505177156490951e-05
pos_det_ratio,8.747902476146277e-05,0.0,4.3739512380731386e-05
passive_voice_freq,5.680068122838014e-05,0.0,2.840034061419007e-05
question_freq,4.588522911032727e-05,0.0,2.2942614555163637e-05
