,fold1,fold2,fold3,fold4,fold5,mean_importance,std_across_folds,mean_across_folds,cv
syllables_per_word,0.1810737078496627,0.181630525201501,0.1793934172313224,0.1749354702719621,0.1824247142028966,0.179891566951469,0.0029853523802163295,0.17989156695146896,0.016595288099423337
avg_word_len,0.1357165604499356,0.1147340166378462,0.1395234936419699,0.1472116717472578,0.1140961843041729,0.1302563853562365,0.015043857328721346,0.13025638535623646,0.11549420235774316
long_word_ratio,0.1292583271961048,0.1370305943811213,0.1297054727166602,0.1104976994413907,0.1382612682965236,0.1289506724063601,0.011103478297048766,0.12895067240636013,0.08610640091940396
hapax_ratio,0.1225988543351227,0.1227504874960243,0.1248098002543988,0.1226102729982933,0.1219367658603277,0.1229412361888334,0.0010912881538601418,0.12294123618883335,0.008876502202922071
lexical_density,0.1056617044970812,0.1042039344547663,0.1045575574358986,0.1308239138691161,0.1044365057974928,0.109936723210871,0.011689773324880146,0.109936723210871,0.10633183328975383
word_length_variance,0.0747845432241935,0.0908987534468159,0.0735099024247538,0.0506965575635371,0.0856931586655852,0.0751165830649771,0.015491692709507928,0.0751165830649771,0.2062353221805544
repetition_rate,0.0422170996470285,0.0408821691640082,0.0406486669058784,0.0443671013944972,0.0414214377480779,0.041907294971898,0.0015014752200673436,0.04190729497189803,0.03582849289304391
pos_pronoun_ratio,0.0350432632230046,0.0344013195525413,0.0342324314048013,0.037700871706146,0.0360195660942909,0.0354794903961568,0.0014260188749297723,0.03547949039615682,0.04019276655349707
bigram_repetition,0.0181216826061067,0.0167876322309463,0.0164534285015512,0.0100927667951695,0.0178252641239632,0.0158561548515474,0.0032958699588694533,0.015856154851547382,0.20786060616378338
yules_k,0.0061970980720745,0.0059555271765668,0.0070455632741525,0.0081910528025177,0.0056918549811432,0.0066162192612909,0.0010162508165351295,0.00661621926129094,0.15359993017172788
