,fold1,fold2,fold3,fold4,fold5,mean_importance
syllables_per_word,0.18107370784966278,0.18163052520150103,0.17939341723132246,0.1749354702719621,0.18242471420289663,0.17989156695146902
avg_word_len,0.13571656044993563,0.11473401663784624,0.1395234936419699,0.14721167174725786,0.1140961843041729,0.13025638535623651
long_word_ratio,0.12925832719610483,0.13703059438112133,0.12970547271666025,0.11049769944139079,0.1382612682965236,0.12895067240636016
hapax_ratio,0.12259885433512278,0.12275048749602434,0.12480980025439885,0.12261027299829334,0.12193676586032773,0.12294123618883342
lexical_density,0.10566170449708126,0.1042039344547663,0.10455755743589865,0.13082391386911615,0.10443650579749285,0.10993672321087104
word_length_variance,0.07478454322419352,0.09089875344681596,0.07350990242475387,0.05069655756353711,0.08569315866558525,0.07511658306497715
type_token_ratio,0.06266924716792578,0.06272482824068763,0.06539934124823706,0.01842369933307472,0.06392403107475307,0.054628229412935644
repetition_rate,0.04221709964702857,0.040882169164008275,0.04064866690587845,0.044367101394497226,0.04142143774807794,0.041907294971898094
pos_pronoun_ratio,0.03504326322300469,0.03440131955254133,0.03423243140480133,0.037700871706146,0.03601956609429093,0.03547949039615686
short_word_ratio,0.027564779498213548,0.020376557831276235,0.027999133632811323,0.07276690873180909,0.02188414359287512,0.034118304657397056
noun_freq,0.021176071087301566,0.021608393536430688,0.021561412302014363,0.05308265839907041,0.02075154965230062,0.027636016995423528
bigram_repetition,0.018121682606106724,0.016787632230946398,0.016453428501551237,0.010092766795169511,0.01782526412396325,0.01585615485154742
second_person_freq,0.009509890279777687,0.01759467122567484,0.00890038951858115,0.008623450834534096,0.016417681561050237,0.012209216683923602
unique_words_ratio,0.011855702699879612,0.011680241729351235,0.01227770221059449,0.0005742062363868875,0.013087205656309863,0.009895011706504418
yules_k,0.006197098072074552,0.005955527176566881,0.0070455632741525335,0.008191052802517775,0.005691854981143201,0.006616219261290988
future_tense_freq,0.0032604085895055154,0.0033078240822575033,0.0029283993948704262,1.4787639398245722e-05,0.0036655289615750942,0.0026353897335213566
adj_freq,0.00242533976406013,0.0026584006360545575,0.0015332898673860425,6.133601694414651e-05,0.0021447696372503544,0.001764627184339046
entropy,0.0005579980746869852,0.000329061089364555,0.00028742501930963414,0.004777719732100232,0.0006864635113878045,0.0013277334853698422
vocab_richness,0.0012155639390216172,0.001062552513423458,0.001025768267922236,0.001960687380735371,0.0007517440927335067,0.001203263238767238
noun_phrase_density,0.000611140121224566,0.0016891625029067392,0.0012332026379369828,0.00025753064450012445,0.002185623011056289,0.0011953317835249402
sent_len_max,0.0012134565605178608,0.000849556490223005,0.0012996247202406714,0.0002633253437598504,0.0009316412338667276,0.000911520869721623
sent_len_std,0.0012044996677499022,0.001367674516716162,0.0012728458483960586,0.00012124298443677254,0.0005587189177581129,0.0009049963870114017
burstiness,0.0010477066786153805,0.00093454425798866,0.0010830234113715783,0.0001739070592681656,0.00044134195645577134,0.0007361046727399111
active_voice_freq,0.0006596903930396662,0.0007287164655590068,0.0003332057283303915,0.0001331828594016853,0.0010889406931103999,0.0005887472278882299
punctuation_density,0.0009940681908454433,0.0003681146456770382,0.0006673416457553817,0.00023106652232031096,0.0005236041379422652,0.0005568390285080879
trigram_repetition,0.0006490262374292992,0.000693061840000797,0.00015875898007676673,0.00028998413683635466,0.0005303321198595793,0.0004642326628405594
first_person_freq,0.00023481530307799934,0.0002038220650218859,0.0002286067173414001,0.00021309008377719897,0.0004250097662393594,0.0002610687870915687
third_person_freq,0.00032607901803492317,0.00029743459950463453,9.809086705795671e-05,0.00020716607093427346,0.00024665950718406686,0.00023508601254317095
present_tense_freq,0.00033981205461074723,0.0002599863006599033,0.00013744281573303192,4.0918499985176264e-05,0.00029759037081044287,0.0002151500083598603
past_tense_freq,0.00017198060246324348,0.0005396222987011374,0.00021380479002891113,2.2932523412182974e-05,4.258488152729975e-05,0.00019818501922655497
sentence_start_diversity,0.0001499320129058847,7.238916696185073e-05,0.00021963896915623028,0.00021912874115865937,0.00028375789569402897,0.0001889693571753308
avg_dependency_depth,0.0002616750970013988,0.0002721889843649159,0.00018525018544909665,6.631607722003783e-05,0.00015436280792957655,0.00018795863039300516
pos_conj_ratio,0.0002789294909902387,0.00027236710890951105,0.00014178480040683686,9.841983807752226e-05,5.606799185819069e-05,0.00016951384604845993
sent_len_mean,0.00017505235657604655,0.00013081074574037622,0.00031296966756710524,5.217001835464049e-05,0.00013118942760839298,0.0001604384431693123
adv_freq,0.000241730321372739,0.00019454729887268045,4.746829967171774e-05,0.0,0.0002442582098991047,0.0001456008259632484
named_entity_ratio,8.803344500439716e-05,0.00014518030257514128,0.00017838318269163914,0.0,0.0002504633562420177,0.00013241205730263905
verb_freq,0.00018559487654326326,8.466636468832304e-05,8.437293042440747e-05,7.82390490206285e-05,0.00015837496652213918,0.00011824963743975228
pos_det_ratio,9.876420585107173e-05,6.717041478354347e-05,9.465148979987389e-05,5.757021019391472e-05,0.00011923880317890998,8.747902476146277e-05
sent_len_min,7.395685084435017e-05,0.00014920076267035647,7.803856530889721e-05,0.0,4.535407182549132e-05,6.931005012981902e-05
passive_voice_freq,4.262193236450656e-05,6.229224081541602e-05,4.9843390474576274e-05,2.402707022244168e-05,0.0001052187722649602,5.680068122838014e-05
question_freq,4.359238224906445e-05,0.0,8.905510366645146e-05,3.69493731791537e-05,5.9829286456966735e-05,4.588522911032727e-05
