,fold1,fold2,fold3,fold4,fold5,mean_importance
syllables_per_word,0.92014176,0.89812565,0.9080341,0.5270114,0.90909946,0.83248246
avg_word_len,0.007151217,0.004050488,0.008830577,0.4002865,0.0041797603,0.08489971
long_word_ratio,0.007284212,0.04080504,0.023968615,0.0528323,0.0062357225,0.02622518
hapax_ratio,0.016095513,0.013102498,0.010001514,0.004573941,0.020460693,0.012846832
lexical_density,0.011963011,0.011657842,0.004436783,0.0023018315,0.011731953,0.008418284
type_token_ratio,0.0042382716,0.0059761484,0.0025455104,0.0,0.008770299,0.004306046
unique_words_ratio,0.0065838234,0.004096218,0.0085279485,0.0,0.0,0.003841598
word_length_variance,0.001852595,0.0014610841,0.003519508,0.0049591474,0.002348672,0.0028282013
pos_pronoun_ratio,0.002820527,0.0025794143,0.00237401,0.0010264842,0.0050399955,0.0027680863
repetition_rate,0.0016035828,0.0030999528,0.0031920727,0.0017053119,0.0032945925,0.0025791028
burstiness,0.002824076,0.0022778753,0.002528935,0.0,0.003424852,0.0022111477
future_tense_freq,0.0031683051,0.00075863855,0.0014867235,0.0,0.0040939744,0.0019015282
adj_freq,0.0008272857,0.0009108747,0.0016929922,0.0001469213,0.0057446538,0.0018645454
sent_len_max,0.0012531461,0.00034390236,0.0017186147,0.0,0.0058579315,0.0018347189
sent_len_std,0.0022889746,0.00091899146,0.00077441137,0.00015268533,0.0029849838,0.0014240092
second_person_freq,0.0016642892,0.0006685671,0.0008312744,0.0,0.00296258,0.001225342
vocab_richness,0.0017024156,0.0038554159,0.0,0.0,0.0,0.0011115663
sent_len_mean,0.0,0.0,0.0050816643,0.0,0.0,0.0010163329
verb_freq,0.0,0.0015105903,0.002697822,0.0,0.00025761122,0.00089320465
third_person_freq,0.0012750335,0.00017906434,0.002948185,0.0,0.0,0.00088045653
punctuation_density,0.0001965167,7.542098e-05,0.0026379672,3.600468e-05,0.00086295645,0.0007617732
first_person_freq,0.0019942946,0.00017509682,0.0011415338,0.0,0.0,0.0006621851
bigram_repetition,0.0003185588,0.0006031192,0.00017037318,0.002085201,0.0,0.0006354504
noun_freq,0.0,0.0,0.0,0.0,0.0017823142,0.00035646284
entropy,0.0,0.0,0.0,0.001734771,0.0,0.00034695418
active_voice_freq,0.0009780582,0.00053251255,0.0,0.0,0.00012912796,0.00032793975
trigram_repetition,0.00020735108,0.00010914932,0.00030352952,0.00089051493,0.0,0.000302109
yules_k,0.0,0.0013842329,0.0,0.0,0.0,0.00027684658
sentence_start_diversity,0.0013023615,0.0,0.0,0.0,0.0,0.0002604723
pos_conj_ratio,0.00026484465,0.0,0.00055523723,0.0,0.0,0.00016401638
named_entity_ratio,0.0,0.00025891798,0.0,0.0,0.00033850284,0.00011948417
present_tense_freq,0.0,0.00017179055,0.0,0.0,0.00039940112,0.00011423833
short_word_ratio,0.0,0.0,0.0,0.00025703624,0.0,5.140725e-05
sent_len_min,0.0,0.00020396746,0.0,0.0,0.0,4.0793493e-05
noun_phrase_density,0.0,0.00010754089,0.0,0.0,0.0,2.1508178e-05
past_tense_freq,0.0,0.0,0.0,0.0,0.0,0.0
passive_voice_freq,0.0,0.0,0.0,0.0,0.0,0.0
avg_dependency_depth,0.0,0.0,0.0,0.0,0.0,0.0
adv_freq,0.0,0.0,0.0,0.0,0.0,0.0
question_freq,0.0,0.0,0.0,0.0,0.0,0.0
pos_det_ratio,0.0,0.0,0.0,0.0,0.0,0.0
